scrape_time,lastUpdateId,bp_1,bz_1,bp_2,bz_2,bp_3,bz_3,bp_4,bz_4,bp_5,bz_5,bp_6,bz_6,bp_7,bz_7,bp_8,bz_8,bp_9,bz_9,bp_10,bz_10,bp_11,bz_11,bp_12,bz_12,bp_13,bz_13,bp_14,bz_14,bp_15,bz_15,bp_16,bz_16,bp_17,bz_17,bp_18,bz_18,bp_19,bz_19,bp_20,bz_20,ap_1,az_1,ap_2,az_2,ap_3,az_3,ap_4,az_4,ap_5,az_5,ap_6,az_6,ap_7,az_7,ap_8,az_8,ap_9,az_9,ap_10,az_10,ap_11,az_11,ap_12,az_12,ap_13,az_13,ap_14,az_14,ap_15,az_15,ap_16,az_16,ap_17,az_17,ap_18,az_18,ap_19,az_19,ap_20,az_20
2023-04-07 04:33:47,17771048615,28073.13000000,0.55833000,28073.10000000,0.00138000,28073.08000000,0.00138000,28073.06000000,0.00138000,28073.04000000,0.00138000,28073.02000000,0.00138000,28073.00000000,0.00144000,28072.99000000,0.20000000,28072.98000000,0.00138000,28072.82000000,0.00046000,28072.81000000,0.12673000,28072.80000000,1.57619000,28072.62000000,0.02500000,28072.46000000,0.03634000,28072.26000000,0.02100000,28072.25000000,0.60794000,28072.06000000,0.44155000,28072.05000000,0.18093000,28072.00000000,0.02792000,28071.99000000,0.62322000,28073.14000000,0.34310000,28073.16000000,0.51210000,28073.25000000,0.63315000,28073.43000000,0.55265000,28073.45000000,0.00698000,28073.56000000,0.00059000,28073.73000000,0.65141000,28073.75000000,0.29498000,28073.88000000,0.01714000,28074.07000000,0.00060000,28074.11000000,0.28794000,28074.12000000,0.47935000,28074.19000000,0.00049000,28074.21000000,0.00036000,28074.41000000,0.01435000,28074.44000000,0.00079000,28074.50000000,0.00505000,28074.52000000,0.62236000,28074.58000000,0.02535000,28074.64000000,0.00071000
2023-04-07 04:33:51,17771048705,28073.13000000,0.42292000,28073.10000000,0.00138000,28073.08000000,0.00138000,28073.06000000,0.00138000,28073.04000000,0.00138000,28073.02000000,0.00138000,28073.00000000,0.00144000,28072.99000000,0.20000000,28072.98000000,0.00138000,28072.82000000,0.00046000,28072.81000000,0.12673000,28072.80000000,1.57619000,28072.46000000,0.03634000,28072.30000000,0.02500000,28072.26000000,0.02100000,28072.25000000,0.60794000,28072.06000000,0.44155000,28072.05000000,0.18093000,28071.99000000,0.60671000,28071.96000000,0.67103000,28073.14000000,0.52843000,28073.16000000,0.51210000,28073.25000000,0.63315000,28073.43000000,0.55265000,28073.45000000,0.00698000,28073.56000000,0.00059000,28073.73000000,0.65141000,28073.75000000,0.29498000,28073.88000000,0.01714000,28074.07000000,0.00060000,28074.11000000,0.28794000,28074.12000000,0.47935000,28074.19000000,0.00049000,28074.21000000,0.00036000,28074.41000000,0.01435000,28074.44000000,0.00079000,28074.50000000,0.00505000,28074.52000000,0.62236000,28074.64000000,0.00071000,28074.76000000,0.00058000
2023-04-07 06:21:48,17771412841,27959.99000000,1.10656000,27959.97000000,0.10683000,27958.70000000,0.01788000,27958.00000000,0.05364000,27957.82000000,0.01690000,27957.59000000,0.61240000,27957.58000000,0.35568000,27957.53000000,0.64698000,27957.21000000,0.01789000,27956.66000000,0.65712000,27956.50000000,0.01800000,27956.31000000,0.59079000,27956.15000000,0.05847000,27955.40000000,0.38624000,27955.39000000,0.64365000,27955.23000000,0.03100000,27954.85000000,0.05222000,27954.84000000,0.03020000,27954.61000000,0.48684000,27954.54000000,0.49310000,27960.00000000,3.07519000,27960.05000000,0.78619000,27960.06000000,0.65976000,27960.13000000,0.64394000,27960.30000000,0.00652000,27960.71000000,0.61608000,27960.99000000,0.14104000,27961.02000000,0.00067000,27961.09000000,0.55691000,27961.15000000,0.06952000,27961.34000000,0.00323000,27961.82000000,0.05000000,27962.06000000,0.03581000,27962.14000000,0.05200000,27962.56000000,0.01596000,27962.77000000,0.00652000,27962.80000000,0.05364000,27963.34000000,0.05370000,27963.35000000,0.08946000,27963.60000000,0.03100000
2023-04-07 06:21:53,17771412969,27959.99000000,0.70783000,27959.97000000,0.10683000,27959.52000000,0.62115000,27958.77000000,0.31509000,27958.74000000,0.53099000,27958.70000000,0.01788000,27958.40000000,0.40434000,27958.39000000,0.62017000,27958.19000000,0.05364000,27957.82000000,0.01690000,27957.67000000,0.64822000,27957.21000000,0.01789000,27956.80000000,0.17229000,27956.79000000,0.28703000,27956.50000000,0.01800000,27956.15000000,0.05847000,27955.40000000,0.38624000,27955.24000000,0.55180000,27955.23000000,0.03100000,27954.85000000,0.05222000,27960.00000000,2.67783000,27960.05000000,0.78619000,27960.06000000,0.65976000,27960.13000000,0.64394000,27960.25000000,0.08779000,27960.30000000,0.00652000,27960.71000000,0.61608000,27960.99000000,0.14104000,27961.02000000,0.00067000,27961.09000000,0.55691000,27961.15000000,0.06952000,27961.34000000,0.00323000,27961.82000000,0.05000000,27962.06000000,0.03581000,27962.14000000,0.05200000,27962.56000000,0.01596000,27962.77000000,0.00652000,27962.88000000,0.05363000,27963.34000000,0.05370000,27963.35000000,0.08946000
2023-04-07 06:21:58,17771413252,27958.70000000,1.27973000,27958.63000000,0.90257000,27958.62000000,0.28202000,27958.57000000,0.05364000,27958.52000000,0.69762000,27958.21000000,0.58739000,27958.16000000,0.57823000,27957.92000000,0.39736000,27957.82000000,0.01690000,27957.53000000,0.59767000,27957.21000000,0.01789000,27956.63000000,0.01800000,27956.62000000,0.03100000,27956.15000000,0.57907000,27955.77000000,0.51979000,27954.85000000,0.05222000,27954.84000000,0.03020000,27954.54000000,0.49310000,27954.47000000,0.80069000,27953.26000000,0.18888000,27958.71000000,2.21317000,27959.90000000,0.73606000,27959.91000000,0.39736000,27960.00000000,0.43137000,27960.06000000,0.65976000,27960.30000000,0.00652000,27961.02000000,0.00067000,27961.15000000,0.06952000,27961.34000000,0.00323000,27961.82000000,0.05000000,27962.06000000,0.03581000,27962.56000000,0.01596000,27962.77000000,0.00652000,27963.34000000,0.05370000,27963.35000000,0.08946000,27963.70000000,0.05363000,27963.80000000,0.04000000,27964.20000000,0.08000000,27964.55000000,0.01600000,27964.56000000,0.53956000
2023-04-07 06:22:02,17771413508,27958.70000000,2.45650000,27958.62000000,0.28202000,27958.60000000,0.08779000,27958.57000000,0.05364000,27958.52000000,0.63044000,27958.47000000,0.56201000,27958.45000000,1.03413000,27958.44000000,0.54193000,27958.34000000,0.03100000,27958.21000000,0.58739000,27958.16000000,0.57823000,27957.82000000,0.01690000,27957.53000000,0.59767000,27957.21000000,0.01789000,27956.63000000,0.01800000,27956.15000000,0.05847000,27955.68000000,0.03100000,27954.85000000,0.05222000,27954.84000000,0.03020000,27954.54000000,0.49310000,27958.71000000,1.38402000,27959.47000000,0.56560000,27960.00000000,0.00119000,27960.05000000,0.22903000,27960.06000000,0.65976000,27960.30000000,0.00652000,27961.02000000,0.00067000,27961.05000000,0.22621000,27961.15000000,0.06952000,27961.16000000,0.41078000,27961.82000000,0.05000000,27962.06000000,0.03581000,27962.56000000,0.01596000,27962.65000000,0.29809000,27962.77000000,0.00652000,27963.11000000,0.33524000,27963.12000000,0.55871000,27963.35000000,0.08946000,27963.67000000,0.57379000,27963.80000000,0.04000000
2023-04-07 06:22:07,17771413652,27958.70000000,1.84709000,27958.62000000,0.28202000,27958.57000000,0.05364000,27958.53000000,1.65194000,27958.52000000,0.63044000,27958.47000000,0.56201000,27958.44000000,0.54193000,27958.34000000,0.03100000,27958.21000000,0.58739000,27958.16000000,0.57823000,27957.82000000,0.01690000,27957.54000000,0.19871000,27957.53000000,0.59767000,27957.21000000,0.01789000,27956.95000000,0.53651000,27956.63000000,0.01800000,27956.15000000,0.05847000,27955.68000000,0.03100000,27954.85000000,0.05222000,27954.84000000,0.03020000,27958.71000000,1.38571000,27959.47000000,0.56560000,27959.94000000,0.09342000,27960.00000000,0.00119000,27960.05000000,0.27676000,27960.06000000,0.65976000,27960.13000000,0.24572000,27960.30000000,0.00652000,27961.02000000,0.00067000,27961.15000000,0.06952000,27961.66000000,0.32735000,27961.82000000,0.05000000,27962.06000000,0.03581000,27962.56000000,0.01596000,27962.77000000,0.00652000,27963.11000000,0.33525000,27963.12000000,0.55871000,27963.35000000,0.08946000,27963.67000000,0.57379000,27964.10000000,0.10000000
2023-04-07 06:22:11,17771413810,27958.70000000,1.51868000,27958.63000000,1.17786000,27958.62000000,0.28202000,27958.57000000,0.05364000,27958.52000000,0.63044000,27958.44000000,0.54193000,27958.34000000,0.03100000,27957.82000000,0.01690000,27957.54000000,0.19871000,27957.36000000,0.63502000,27957.21000000,0.01789000,27957.16000000,0.61949000,27956.63000000,0.01800000,27956.15000000,0.05847000,27956.01000000,0.64866000,27955.68000000,0.03100000,27954.85000000,0.05222000,27954.84000000,0.03020000,27954.54000000,0.06348000,27954.18000000,0.10565000,27958.71000000,1.57475000,27958.79000000,0.58431000,27959.02000000,0.31062000,27959.72000000,0.11020000,27960.00000000,0.57553000,27960.04000000,0.42328000,27960.05000000,0.13820000,27960.06000000,0.65976000,27960.30000000,0.00652000,27960.77000000,0.00323000,27961.02000000,0.00067000,27961.15000000,0.06952000,27961.54000000,0.36842000,27961.78000000,0.61393000,27961.82000000,0.05000000,27962.06000000,0.03581000,27962.56000000,0.01596000,27962.77000000,0.00652000,27963.34000000,0.05375000,27963.35000000,0.08946000
2023-04-07 06:22:16,17771413958,27958.70000000,2.08787000,27958.62000000,0.28202000,27958.57000000,0.05364000,27958.53000000,1.09187000,27958.52000000,0.63044000,27958.44000000,0.54193000,27958.31000000,0.61641000,27957.82000000,0.01690000,27957.58000000,0.03100000,27957.54000000,0.19871000,27957.36000000,0.63502000,27957.21000000,0.01789000,27956.63000000,0.01800000,27956.15000000,0.05847000,27955.17000000,0.33285000,27955.16000000,0.55472000,27954.85000000,0.05222000,27954.84000000,0.03020000,27954.18000000,0.10565000,27953.39000000,0.35758000,27958.71000000,1.56593000,27958.79000000,0.58431000,27959.02000000,0.31062000,27959.72000000,0.11020000,27959.99000000,0.70149000,27960.00000000,0.57553000,27960.05000000,0.13820000,27960.06000000,0.65976000,27960.30000000,0.00652000,27960.77000000,0.00323000,27961.02000000,0.00067000,27961.15000000,0.06952000,27961.54000000,0.36842000,27961.78000000,0.61393000,27961.82000000,0.05000000,27962.06000000,0.03581000,27962.56000000,0.01596000,27962.77000000,0.00652000,27963.34000000,0.05374000,27963.35000000,0.08946000
2023-04-07 06:22:20,17771414074,27958.70000000,2.07266000,27958.62000000,0.28202000,27958.53000000,1.09187000,27958.52000000,0.63044000,27958.44000000,0.54193000,27958.31000000,0.61641000,27958.00000000,0.02500000,27957.82000000,0.01690000,27957.54000000,0.19871000,27957.36000000,0.63502000,27957.21000000,0.01789000,27956.63000000,0.01800000,27956.15000000,0.05847000,27955.56000000,0.27100000,27955.55000000,0.45155000,27955.20000000,0.05000000,27954.85000000,0.05222000,27954.84000000,0.03020000,27954.21000000,0.11333000,27954.20000000,0.18874000,27958.71000000,1.56593000,27959.02000000,0.31062000,27959.23000000,0.31343000,27959.99000000,0.70149000,27960.00000000,0.57553000,27960.05000000,0.13820000,27960.06000000,0.65976000,27960.30000000,0.00652000,27960.77000000,0.00323000,27961.02000000,0.00067000,27961.15000000,0.06952000,27961.54000000,0.36842000,27961.78000000,0.61393000,27961.82000000,0.05000000,27962.06000000,0.03581000,27962.14000000,0.58512000,27962.56000000,0.01596000,27962.77000000,0.00652000,27963.34000000,0.05374000,27963.35000000,0.08946000
